set_name,english_release_date,card_number,card_name,rarity
Diamond & Pearl,2007-05-23,40,Weavile,
Diamond & Pearl,2007-05-23,41,Wobbuffet,
Diamond & Pearl,2007-05-23,42,Wynaut,
Diamond & Pearl,2007-05-23,43,Budew,
Diamond & Pearl,2007-05-23,44,Cascoon,
Diamond & Pearl,2007-05-23,45,Cherrim,
Diamond & Pearl,2007-05-23,46,Drifloon,
Diamond & Pearl,2007-05-23,47,Dusclops,
Diamond & Pearl,2007-05-23,48,Elekid,
Diamond & Pearl,2007-05-23,49,Grotle,
Diamond & Pearl,2007-05-23,50,Haunter,
Diamond & Pearl,2007-05-23,51,Hippopotas,
Diamond & Pearl,2007-05-23,52,Luxio,
Diamond & Pearl,2007-05-23,53,Machoke,
Diamond & Pearl,2007-05-23,54,Magneton,
Diamond & Pearl,2007-05-23,55,Mantyke,
Diamond & Pearl,2007-05-23,56,Monferno,
Diamond & Pearl,2007-05-23,57,Nuzleaf,
Diamond & Pearl,2007-05-23,58,Prinplup,
Diamond & Pearl,2007-05-23,59,Rapidash,
Diamond & Pearl,2007-05-23,60,Rhydon,
Diamond & Pearl,2007-05-23,61,Riolu,
Diamond & Pearl,2007-05-23,62,Seaking,
Diamond & Pearl,2007-05-23,63,Silcoon,
Diamond & Pearl,2007-05-23,64,Staravia,
Diamond & Pearl,2007-05-23,65,Unown A,
Diamond & Pearl,2007-05-23,66,Unown B,
Diamond & Pearl,2007-05-23,67,Unown C,
Diamond & Pearl,2007-05-23,68,Unown D,
Diamond & Pearl,2007-05-23,69,Azurill,
Diamond & Pearl,2007-05-23,70,Bidoof,
Diamond & Pearl,2007-05-23,71,Bonsly,
Diamond & Pearl,2007-05-23,72,Buizel,
Diamond & Pearl,2007-05-23,73,Buneary,
Diamond & Pearl,2007-05-23,74,Chatot,
Diamond & Pearl,2007-05-23,75,Cherubi,
Diamond & Pearl,2007-05-23,76,Chimchar,
Diamond & Pearl,2007-05-23,77,Clefairy,
Diamond & Pearl,2007-05-23,78,Cleffa,
Diamond & Pearl,2007-05-23,79,Combee,
Diamond & Pearl,2007-05-23,80,Duskull,
Diamond & Pearl,2007-05-23,81,Electabuzz,
Diamond & Pearl,2007-05-23,82,Gastly,
Diamond & Pearl,2007-05-23,83,Glameow,
Diamond & Pearl,2007-05-23,84,Goldeen,
Diamond & Pearl,2007-05-23,85,Hoothoot,
Diamond & Pearl,2007-05-23,86,Machop,
Diamond & Pearl,2007-05-23,87,Magnemite,
Diamond & Pearl,2007-05-23,88,Marill,
Diamond & Pearl,2007-05-23,89,Meditite,
Diamond & Pearl,2007-05-23,90,Mime Jr.,
Diamond & Pearl,2007-05-23,91,Misdreavus,
Diamond & Pearl,2007-05-23,92,Onix,
Diamond & Pearl,2007-05-23,93,Piplup,
Diamond & Pearl,2007-05-23,94,Ponyta,
Diamond & Pearl,2007-05-23,95,Rhyhorn,
Diamond & Pearl,2007-05-23,96,Roselia,
Diamond & Pearl,2007-05-23,97,Seedot,
Diamond & Pearl,2007-05-23,98,Shinx,
Diamond & Pearl,2007-05-23,99,Skorupi,
Diamond & Pearl,2007-05-23,100,Sneasel,
Diamond & Pearl,2007-05-23,101,Starly,
Diamond & Pearl,2007-05-23,102,Stunky,
Diamond & Pearl,2007-05-23,103,Turtwig,
Diamond & Pearl,2007-05-23,104,Wurmple,
Diamond & Pearl,2007-05-23,105,Double Full Heal,
Diamond & Pearl,2007-05-23,106,Energy Restore,
Diamond & Pearl,2007-05-23,107,Energy Switch,
Diamond & Pearl,2007-05-23,108,Night Pokémon Center,
Diamond & Pearl,2007-05-23,109,PlusPower,
Diamond & Pearl,2007-05-23,110,Poké Ball,
Diamond & Pearl,2007-05-23,111,Pokédex HANDY910is,
Diamond & Pearl,2007-05-23,112,Professor Rowan,
Diamond & Pearl,2007-05-23,113,Rival,
Diamond & Pearl,2007-05-23,114,Speed Stadium,
Diamond & Pearl,2007-05-23,115,Super Scoop Up,
Diamond & Pearl,2007-05-23,116,Warp Point,
Diamond & Pearl,2007-05-23,117,Energy Search,
Diamond & Pearl,2007-05-23,118,Potion,
Diamond & Pearl,2007-05-23,119,Switch,
Diamond & Pearl,2007-05-23,120,Empoleon LV. X,
Diamond & Pearl,2007-05-23,121,Infernape LV. X,
Diamond & Pearl,2007-05-23,122,Torterra LV. X,
Diamond & Pearl,2007-05-23,123,Grass Energy,
Diamond & Pearl,2007-05-23,124,Fire Energy,
Diamond & Pearl,2007-05-23,125,Water Energy,
Diamond & Pearl,2007-05-23,126,Lightning Energy,
Diamond & Pearl,2007-05-23,127,Psychic Energy,
Diamond & Pearl,2007-05-23,128,Fighting Energy,
Diamond & Pearl,2007-05-23,129,Darkness Energy,
Diamond & Pearl,2007-05-23,130,Metal Energy,
