set_name,english_release_date,card_number,card_name,rarity
Legends Awakened,2008-08-20,71,Starmie,
Legends Awakened,2008-08-20,72,Swalot,
Legends Awakened,2008-08-20,73,Swellow,
Legends Awakened,2008-08-20,74,Tauros,
Legends Awakened,2008-08-20,75,Tentacruel,
Legends Awakened,2008-08-20,76,Unown J,
Legends Awakened,2008-08-20,77,Unown R,
Legends Awakened,2008-08-20,78,Unown U,
Legends Awakened,2008-08-20,79,Unown V,
Legends Awakened,2008-08-20,80,Unown W,
Legends Awakened,2008-08-20,81,Unown Y,
Legends Awakened,2008-08-20,82,Unown ?,
Legends Awakened,2008-08-20,83,Beldum,
Legends Awakened,2008-08-20,84,Beldum,
Legends Awakened,2008-08-20,85,Bellsprout,
Legends Awakened,2008-08-20,86,Buneary,
Legends Awakened,2008-08-20,87,Chinchou,
Legends Awakened,2008-08-20,88,Chinchou,
Legends Awakened,2008-08-20,89,Corphish,
Legends Awakened,2008-08-20,90,Cubone,
Legends Awakened,2008-08-20,91,Dratini,
Legends Awakened,2008-08-20,92,Drifloon,
Legends Awakened,2008-08-20,93,Exeggcute,
Legends Awakened,2008-08-20,94,Gligar,
Legends Awakened,2008-08-20,95,Gligar,
Legends Awakened,2008-08-20,96,Gloom,
Legends Awakened,2008-08-20,97,Gloom,
Legends Awakened,2008-08-20,98,Gulpin,
Legends Awakened,2008-08-20,99,Hitmonchan,
Legends Awakened,2008-08-20,100,Hitmonlee,
Legends Awakened,2008-08-20,101,Hitmontop,
Legends Awakened,2008-08-20,102,Horsea,
Legends Awakened,2008-08-20,103,Houndour,
Legends Awakened,2008-08-20,104,Ledyba,
Legends Awakened,2008-08-20,105,Lileep,
Legends Awakened,2008-08-20,106,Meowth,
Legends Awakened,2008-08-20,107,Misdreavus,
Legends Awakened,2008-08-20,108,Nincada,
Legends Awakened,2008-08-20,109,Nosepass,
Legends Awakened,2008-08-20,110,Numel,
Legends Awakened,2008-08-20,111,Oddish,
Legends Awakened,2008-08-20,112,Oddish,
Legends Awakened,2008-08-20,113,Pineco,
Legends Awakened,2008-08-20,114,Poliwag,
Legends Awakened,2008-08-20,115,Poliwhirl,
Legends Awakened,2008-08-20,116,Poochyena,
Legends Awakened,2008-08-20,117,Riolu,
Legends Awakened,2008-08-20,118,Shinx,
Legends Awakened,2008-08-20,119,Skitty,
Legends Awakened,2008-08-20,120,Sneasel,
Legends Awakened,2008-08-20,121,Spoink,
Legends Awakened,2008-08-20,122,Staryu,
Legends Awakened,2008-08-20,123,Swinub,
Legends Awakened,2008-08-20,124,Taillow,
Legends Awakened,2008-08-20,125,Tentacool,
Legends Awakened,2008-08-20,126,Tyrogue,
Legends Awakened,2008-08-20,127,Weepinbell,
Legends Awakened,2008-08-20,128,Yanma,
Legends Awakened,2008-08-20,129,Bubble Coat,
Legends Awakened,2008-08-20,130,Buck's Training,
Legends Awakened,2008-08-20,131,Cynthia's Feelings,
Legends Awakened,2008-08-20,132,Energy Pickup,
Legends Awakened,2008-08-20,133,Poke Radar,
Legends Awakened,2008-08-20,134,Snowpoint Temple,
Legends Awakened,2008-08-20,135,Stark Mountain,
Legends Awakened,2008-08-20,136,Technical Machine TS-1,
Legends Awakened,2008-08-20,137,Technical Machine TS-2,
Legends Awakened,2008-08-20,138,Claw Fossil,
Legends Awakened,2008-08-20,139,Root Fossil,
Legends Awakened,2008-08-20,140,Azelf LV. X,
Legends Awakened,2008-08-20,141,Gliscor LV. X,
Legends Awakened,2008-08-20,142,Magnezone LV. X,
Legends Awakened,2008-08-20,143,Mesprit LV. X,
Legends Awakened,2008-08-20,144,Mewtwo LV. X,
Legends Awakened,2008-08-20,145,Rhyperior LV. X,
Legends Awakened,2008-08-20,146,Uxie LV. X,
